"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
1729,0,0,"Iceland",65.73,-16.78,650,"Caldera","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1730,0,0,"Spain",29.03,-13.63,670,"Fissure vent","Historical","D3",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1730,0,0,"Indonesia",-8.125,114.042,3332,"Stratovolcano","Historical","D1",3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1730,0,0,"Canada",55.12,-128.9,609,"Pyroclastic cone","Radiocarbon","D4",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1737,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",2,2,1,NA,NA,NA,NA,NA,2,NA,NA
1741,1,1,"Japan",41.5,139.37,737,"Stratovolcano","Historical","D4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1742,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",3,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1742,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",3,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1749,1,1,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,1,NA,NA
1753,0,0,"Iceland",64.42,-17.33,1725,"Caldera","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1754,1,1,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",4,12,1,NA,NA,NA,NA,NA,4,NA,4
1755,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1757,0,1,"Portugal",38.65,-28.08,1053,"Fissure vent","Historical","D2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1760,0,0,"Indonesia",0.32,127.4,1357,"Stratovolcano","Historical","D1",4,2000,4,NA,NA,NA,NA,NA,NA,NA,NA
1762,0,0,"Russia",56.057,160.638,4835,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1766,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1766,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,49,1,NA,NA,NA,NA,NA,NA,NA,NA
1768,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",4,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1772,1,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",3,35,1,NA,NA,NA,NA,NA,NA,NA,NA
1772,0,0,"Indonesia",-7.32,107.73,2665,"Stratovolcano","Historical","D2",3,2957,4,NA,NA,NA,NA,NA,NA,NA,3
1773,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1775,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",3,1300,4,NA,NA,NA,NA,NA,NA,NA,NA
1775,0,0,"Indonesia",1.358,124.792,1580,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1778,0,0,"Russia",48.292,153.25,551,"Stratovolcano","Historical","D2",4,15,1,NA,NA,NA,NA,NA,NA,NA,NA
1779,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1779,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",4,153,3,NA,NA,NA,NA,NA,NA,NA,NA
1780,0,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1780,0,0,"Japan",32.45,139.77,423,"Stratovolcano","Historical","D4",3,7,1,NA,NA,NA,NA,NA,NA,NA,1
1780,1,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1780,1,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781,1,0,"Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",4,23,1,NA,NA,NA,NA,NA,NA,NA,NA
1783,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",4,1491,4,NA,NA,NA,NA,NA,NA,NA,NA
1784,0,0,"Iceland",64.42,-17.33,1725,"Caldera","Historical","D1",4,9350,4,NA,NA,NA,NA,NA,NA,NA,NA
1784,0,0,"Peru",-15.78,-71.85,5967,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1785,0,0,"Japan",32.45,139.77,423,"Stratovolcano","Historical","D4",3,135,3,NA,NA,NA,NA,NA,NA,NA,NA
1786,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",2,38,1,NA,NA,NA,NA,NA,NA,NA,2
1789,0,0,"Japan",34.73,139.38,758,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1790,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",4,5405,4,NA,NA,NA,NA,NA,NA,NA,NA
1792,1,1,"Japan",32.75,130.3,1500,"Complex volcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1794,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",3,400,3,NA,NA,NA,NA,NA,3,NA,NA
1800,0,0,"Portugal",38.65,-28.08,1053,"Fissure vent","Historical","D2",1,9,1,NA,NA,NA,NA,NA,NA,NA,NA
1800,0,0,"Indonesia",-7.13,107.83,2249,"Complex volcano","Historical","D3",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1800,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1800,0,0,"Tanzania",-9.23,33.78,2175,"Stratovolcano","Historical","D3",2,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1800,0,0,"United States",19.692,-155.87,2523,"Shield volcano","Historical","D3",0,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1801,0,0,"Japan",39.08,140.03,2237,"Stratovolcano","Historical","D1",2,8,1,NA,NA,NA,NA,NA,NA,NA,NA
1803,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1803,0,0,"Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1804,0,0,"Japan",42.7,141.33,1320,"Caldera","Historical","D1",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1805,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",2,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1812,0,0,"St. Vincent & the Grenadines",13.33,-61.18,1220,"Stratovolcano","Historical","D1",4,56,2,NA,NA,NA,NA,NA,NA,NA,NA
1812,0,0,"Indonesia",3.67,125.5,1320,"Stratovolcano","Historical","D1",3,953,3,NA,NA,NA,NA,NA,NA,NA,NA
1814,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",4,1200,4,NA,NA,NA,NA,NA,NA,NA,3
1815,1,0,"Indonesia",-8.25,118,2850,"Stratovolcano","Historical","D1",7,10000,4,NA,NA,NA,4,NA,4,NA,4
1816,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1817,0,0,"Indonesia",-8.058,114.242,2799,"Stratovolcano","Historical","D1",2,NA,2,NA,NA,NA,NA,NA,NA,90,2
1817,0,0,"Indonesia",-8.125,114.042,3332,"Stratovolcano","Historical","D1",4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1818,0,0,"Mexico",19.514,-103.62,3850,"Stratovolcano","Historical","D1",4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1819,1,0,"United States",19.67,145.4,857,"Stratovolcano","Historical","D2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,1,1,"United States",54.52,-164.65,1654,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,0,0,"Pacific Ocean",-4.525,129.871,640,"Caldera","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1822,0,0,"Japan",42.53,140.83,731,"Stratovolcano","Historical","D1",4,50,1,NA,NA,53,2,NA,NA,NA,2
1822,0,0,"Indonesia",-7.25,108.05,2168,"Stratovolcano","Historical","D1",5,4011,4,NA,NA,NA,NA,NA,3,NA,3
1822,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,100,2,NA,NA,NA,2,NA,3,NA,3
1823,0,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1824,0,0,"United States",54.75,-163.97,2857,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1825,0,0,"Papua New Guinea",-5.83,154.98,2715,"Stratovolcano","Holocene","U",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1826,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1826,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,65,2,NA,3,NA,3
1826,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1827,1,1,"Russia",53.255,158.83,2741,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1827,0,0,"Russia",53.255,158.83,2741,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1829,0,0,"Indonesia",-7.13,107.83,2249,"Complex volcano","Historical","D3",2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1832,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1832,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,32,1,NA,NA,NA,NA,NA,NA,NA,2
1833,0,0,"Indonesia",-3.52,102.62,1952,"Stratovolcano","Historical","D2",2,126,3,NA,NA,NA,NA,NA,NA,NA,NA
1835,0,0,"Nicaragua",12.98,-87.57,872,"Stratovolcano","Historical","D3",5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1835,0,0,"Pacific Ocean",-4.525,129.871,640,"Caldera","Historical","D1",NA,NA,3,NA,NA,NA,NA,NA,2,NA,2
1837,1,1,"Indonesia",4.914,96.329,2801,"Complex volcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1838,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",2,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1839,1,0,"Chile",-33.62,-76.83,-642,"Submarine volcano","Uncertain","Unknown",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,1,1,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,1,0,"United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1840,0,0,"Solomon Is.",-10.38,165.8,851,"Stratovolcano","Historical","D1",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1840,0,0,"Solomon Is.",-9.13,159.82,510,"Stratovolcano","Historical","D3",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1841,0,0,"Japan",30.43,130.22,649,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,2,NA,2
1843,1,0,"St. Kitts & Nevis",17.37,-62.8,1156,"Stratovolcano","Radiocarbon","D6",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,1,0,"Guadeloupe",16.05,-61.67,1467,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,0,0,"Indonesia",-8,113.342,1651,"Stratovolcano","Historical","D3",2,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1843,0,0,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",2,56,2,NA,NA,NA,2,NA,NA,NA,NA
1845,1,1,"Indonesia",1.108,124.725,1784,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,0,0,"Colombia",4.895,-75.322,5321,"Stratovolcano","Historical","D1",2,1000,3,NA,NA,NA,NA,NA,NA,NA,NA
1845,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1846,0,0,"Indonesia",-6.77,107.6,2084,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1846,0,0,"Japan",41.8,141.17,618,"Stratovolcano","Historical","D3",1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1847,0,0,"Cape Verde",14.95,-24.35,2829,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1847,0,0,"Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1848,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",2,21,1,NA,NA,NA,NA,NA,NA,800,3
1850,0,0,"Papua New Guinea",-4.271,152.203,688,"Pyroclastic shield","Historical","D1",2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1853,0,0,"Tonga",-15.6,-175.63,260,"Shield volcano","Historical","D1",0,25,1,NA,NA,NA,NA,NA,NA,NA,NA
1853,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,34,1,NA,NA,NA,NA,NA,NA,NA,1
1853,1,0,"Taiwan",24,121.83,0,"Submarine volcano","Historical","D3",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,0,0,"Russia",56.653,161.36,3283,"Stratovolcano","Historical","D1",5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1854,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1856,1,0,"Indonesia",3.67,125.5,1320,"Stratovolcano","Historical","D1",3,2806,4,NA,NA,NA,2,NA,3,NA,3
1856,1,0,"United States",54.75,-163.97,2857,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,0,0,"Japan",42.07,140.68,1140,"Stratovolcano","Historical","D1",4,20,1,NA,NA,NA,NA,NA,NA,NA,3
1857,1,1,"Papua New Guinea",-5.589,147.875,1548,"Complex volcano","Holocene","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1860,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1860,0,0,"Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1861,0,0,"Eritrea",13.58,41.808,1625,"Stratovolcano","Historical","D3",3,106,3,NA,NA,NA,NA,NA,3,NA,3
1861,0,0,"Iceland",64.42,-17.33,1725,"Caldera","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1861,0,0,"Indonesia",0.32,127.4,1357,"Stratovolcano","Historical","D1",4,326,3,NA,NA,47,1,NA,NA,NA,3
1863,1,1,"Vanuatu",-19.52,169.425,361,"Stratovolcano","Historical","D1",NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1864,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",2,54,2,NA,NA,NA,NA,NA,NA,NA,3
1866,1,0,"United States",-14.175,-169.618,639,"Shield volcano","Historical","D3",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,0,0,"Japan",38.15,140.45,1841,"Complex volcano","Historical","D2",2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1868,1,1,"United States",19.475,-155.608,4170,"Shield volcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,37,1
1868,1,1,"Italy",37.734,15.004,3350,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,0,0,"Indonesia",-8.53,122.775,1703,"Stratovolcano","Historical","D1",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1869,0,0,"Indonesia",-8,113.342,1651,"Stratovolcano","Historical","D3",2,8,1,NA,NA,NA,NA,NA,NA,NA,NA
1870,0,0,"Indonesia",2.28,125.425,725,"Stratovolcano","Historical","D2",2,NA,1,NA,NA,NA,NA,NA,NA,40,1
1870,0,0,"Indonesia",-8.54,123.59,1018,"Complex volcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1870,0,0,"Vanuatu",-15.4,167.83,1496,"Shield volcano","Historical","D1",2,NA,3,NA,NA,NA,NA,NA,3,NA,3
1871,1,0,"Indonesia",2.28,125.425,725,"Stratovolcano","Historical","D2",2,NA,NA,NA,NA,NA,NA,NA,1,NA,1
1871,1,1,"Philippines",9.203,124.673,1332,"Stratovolcano","Historical","D2",2,NA,1,NA,NA,NA,NA,NA,3,NA,3
1871,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",2,1,1,NA,NA,1,1,NA,NA,NA,NA
1871,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
1872,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",3,9,1,NA,NA,11,1,NA,NA,NA,NA
1872,0,0,"Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",4,200,3,NA,NA,NA,NA,NA,3,NA,3
1872,0,0,"Japan",32.88,131.1,1592,"Caldera","Historical","D1",3,4,1,NA,NA,NA,NA,NA,NA,NA,NA
1872,0,0,"Russia",48.875,154.175,934,"Stratovolcano","Historical","D3",4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1873,0,0,"Philippines",7.67,124.5,2815,"Stratovolcano","Historical","D2",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1874,0,0,"Japan",34.08,139.53,815,"Stratovolcano","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1874,0,0,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1875,0,0,"Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",0,NA,1,NA,NA,NA,NA,NA,2,NA,2
1875,0,0,"Iceland",65.03,-16.75,1516,"Stratovolcano","Historical","D2",5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1877,1,1,"United States",19.475,-155.608,4170,"Shield volcano","Historical","D1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",4,340,3,NA,NA,NA,NA,NA,NA,NA,NA
1878,1,0,"Vanuatu",-19.52,169.425,361,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,1,0,"Papua New Guinea",-4.271,152.203,688,"Pyroclastic shield","Historical","D1",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1878,1,1,"Vanuatu",-19.52,169.425,361,"Stratovolcano","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,1,1,"United States",53.42,-168.13,1073,"Shield volcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,1,0,"Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,0,0,"Comoros",-11.75,43.38,2361,"Shield volcano","Historical","D1",2,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1883,1,0,"Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",6,2000,4,NA,NA,NA,3,NA,3,NA,3
1883,1,0,"United States",59.37,-153.42,1252,"Lava dome","Historical","D1",4,8,1,NA,NA,NA,NA,NA,NA,NA,NA
1883,1,0,"Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,0,0,"Papua New Guinea",-6.14,155.195,1750,"Lava cone","Historical","D1",3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1884,1,0,"Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,0,0,"Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,74,2,NA,NA,NA,NA,NA,NA,NA,1
1885,0,1,"Colombia",2.32,-76.4,4650,"Stratovolcano","Historical","D1",3,NA,2,NA,NA,NA,NA,NA,2,NA,2
1886,0,0,"Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",4,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1886,0,0,"New Zealand",-38.12,176.5,1111,"Lava dome","Historical","D1",2,153,3,NA,NA,NA,NA,NA,NA,NA,NA
1886,0,0,"Tonga",-15.6,-175.63,260,"Shield volcano","Historical","D1",4,NA,1,NA,1,NA,NA,NA,NA,NA,NA
1887,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,15,1,NA,NA,NA,NA,NA,NA,NA,NA
1888,1,0,"Papua New Guinea",-5.52,148.121,140,"Stratovolcano","Historical","D1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1888,0,0,"Japan",37.6,140.08,1819,"Stratovolcano","Historical","D3",4,461,3,NA,NA,70,2,NA,2,NA,2
1889,1,1,"Indonesia",3.138,125.491,-5,"Submarine volcano","Historical","D2",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,0,0,"Indonesia",0.32,127.4,1357,"Stratovolcano","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,3,NA,3
1890,0,0,"Papua New Guinea",-9.2,149.07,1925,"Stratovolcano","Historical","D2",2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
1892,0,0,"Indonesia",0.686,99.539,2145,"Stratovolcano","Historical","D1",2,180,3,NA,NA,NA,NA,NA,NA,NA,NA
1892,1,0,"Indonesia",3.67,125.5,1320,"Stratovolcano","Historical","D1",3,1532,4,NA,NA,NA,NA,NA,3,NA,3
1893,0,0,"Japan",37.73,140.25,2024,"Stratovolcano","Historical","D1",2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
